trip_id,start_time,end_time,headway_secs
20C-GLOBAUX-04-S_5_2,09:32:30,09:38:30,360
20C-GLOBAUX-04-S_5_2,09:38:30,14:44:00,390
20C-GLOBAUX-04-S_5_2,14:44:00,15:44:00,300
20C-GLOBAUX-04-S_5_2,15:44:00,17:47:40,265
20C-GLOBAUX-04-S_5_2,17:47:40,22:27:40,300
20C-GLOBAUX-04-S_5_2,22:27:40,22:33:15,335
20C-GLOBAUX-04-S_5_2,22:33:15,24:45:00,465
20C-GLOBAUX-04-A_1_3,05:30:00,07:25:30,630
20C-GLOBAUX-04-A_1_3,07:25:30,08:12:10,560
20C-GLOBAUX-04-A_1_3,08:12:10,10:43:40,505
20C-GLOBAUX-04-A_1_3,10:43:40,12:00:20,460
20C-GLOBAUX-04-A_1_3,12:00:20,12:07:20,420
20C-GLOBAUX-04-A_1_3,12:07:20,18:24:20,390
20C-GLOBAUX-04-A_1_3,18:24:20,18:31:20,420
20C-GLOBAUX-04-A_1_3,18:31:20,19:25:00,460
20C-GLOBAUX-04-A_1_3,19:25:00,21:22:50,505
20C-GLOBAUX-04-A_1_3,21:22:50,24:01:30,560
20C-GLOBAUX-04-A_1_3,24:01:30,24:12:00,630
20C-GLOBAUX-04-A_1_3,24:12:00,24:23:00,660
20C-GLOBAUX-04-A_1_3,24:23:00,25:08:00,675
20C-GLOBAUX-04-A_1_2,05:30:00,08:07:30,630
20C-GLOBAUX-04-A_1_2,08:07:30,08:54:10,560
20C-GLOBAUX-04-A_1_2,08:54:10,09:02:45,515
20C-GLOBAUX-04-A_1_2,09:02:45,10:01:40,505
20C-GLOBAUX-04-A_1_2,10:01:40,12:04:20,460
20C-GLOBAUX-04-A_1_2,12:04:20,18:27:50,390
20C-GLOBAUX-04-A_1_2,18:27:50,18:35:20,450
20C-GLOBAUX-04-A_1_2,18:35:20,20:07:20,460
20C-GLOBAUX-04-A_1_2,20:07:20,20:15:35,495
20C-GLOBAUX-04-A_1_2,20:15:35,22:05:00,505
20C-GLOBAUX-04-A_1_2,22:05:00,22:14:10,550
20C-GLOBAUX-04-A_1_2,22:14:10,23:19:30,560
20C-GLOBAUX-04-A_1_2,23:19:30,24:54:00,630
20C-GLOBAUX-04-A_1_2,24:54:00,25:05:00,660
20C-GLOBAUX-04-A_2_1,05:29:59,06:17:54,575
20C-GLOBAUX-04-A_2_1,06:17:54,06:27:31,577
20C-GLOBAUX-04-A_2_1,06:27:31,06:46:41,575
20C-GLOBAUX-04-A_2_1,06:46:41,06:56:20,579
20C-GLOBAUX-04-A_2_1,06:56:20,07:15:30,575
20C-GLOBAUX-04-A_2_1,07:15:30,07:52:50,560
20C-GLOBAUX-04-A_2_1,07:52:50,08:01:35,525
20C-GLOBAUX-04-A_2_1,08:01:35,08:10:22,527
20C-GLOBAUX-04-A_2_1,08:10:22,08:45:22,525
20C-GLOBAUX-04-A_2_1,08:45:22,08:54:06,524
20C-GLOBAUX-04-A_2_1,08:54:06,09:02:51,525
20C-GLOBAUX-04-A_2_1,09:02:51,09:11:34,523
20C-GLOBAUX-04-A_2_1,09:11:34,10:30:19,525
20C-GLOBAUX-04-A_2_1,10:30:19,11:08:39,460
20C-GLOBAUX-04-A_2_1,11:08:39,11:15:59,440
20C-GLOBAUX-04-A_2_1,11:15:59,11:23:25,446
20C-GLOBAUX-04-A_2_1,11:23:25,12:05:25,420
20C-GLOBAUX-04-A_2_1,12:05:25,12:12:28,423
20C-GLOBAUX-04-A_2_1,12:12:28,12:19:28,420
20C-GLOBAUX-04-A_2_1,12:19:28,12:32:48,400
20C-GLOBAUX-04-A_2_1,12:32:48,12:39:23,395
20C-GLOBAUX-04-A_2_1,12:39:23,14:34:53,385
20C-GLOBAUX-04-A_2_1,14:34:53,14:41:15,382
20C-GLOBAUX-04-A_2_1,14:41:15,14:47:40,385
20C-GLOBAUX-04-A_2_1,14:47:40,14:54:00,380
20C-GLOBAUX-04-A_2_1,14:54:00,18:19:20,385
20C-GLOBAUX-04-A_2_1,18:19:20,18:25:44,384
20C-GLOBAUX-04-A_2_1,18:25:44,18:38:54,395
20C-GLOBAUX-04-A_2_1,18:38:54,19:00:39,435
20C-GLOBAUX-04-A_2_1,19:00:39,19:07:53,434
20C-GLOBAUX-04-A_2_1,19:07:53,19:29:38,435
20C-GLOBAUX-04-A_2_1,19:29:38,19:52:08,450
20C-GLOBAUX-04-A_2_1,19:52:08,19:59:53,465
20C-GLOBAUX-04-A_2_1,19:59:53,20:07:33,460
20C-GLOBAUX-04-A_2_1,20:07:33,20:46:18,465
20C-GLOBAUX-04-A_2_1,20:46:18,21:10:18,480
20C-GLOBAUX-04-A_2_1,21:10:18,21:35:48,510
20C-GLOBAUX-04-A_2_1,21:35:48,21:54:28,560
20C-GLOBAUX-04-A_2_1,21:54:28,22:32:28,570
20C-GLOBAUX-04-A_2_1,22:32:28,22:41:56,568
20C-GLOBAUX-04-A_2_1,22:41:56,23:10:26,570
20C-GLOBAUX-04-A_2_1,23:10:26,23:49:26,585
20C-GLOBAUX-04-A_2_1,23:49:26,23:59:15,589
20C-GLOBAUX-04-A_2_1,23:59:15,24:18:55,590
20C-GLOBAUX-04-A_2_1,24:18:55,25:08:55,600
20C-GLOBAUX-04-A_2_0,05:30:00,07:07:30,585
20C-GLOBAUX-04-A_2_0,07:07:30,07:44:30,555
20C-GLOBAUX-04-A_2_0,07:44:30,08:37:30,530
20C-GLOBAUX-04-A_2_0,08:37:30,11:02:00,510
20C-GLOBAUX-04-A_2_0,11:02:00,12:18:40,460
20C-GLOBAUX-04-A_2_0,12:18:40,12:40:40,440
20C-GLOBAUX-04-A_2_0,12:40:40,13:09:40,435
20C-GLOBAUX-04-A_2_0,13:09:40,19:28:15,385
20C-GLOBAUX-04-A_2_0,19:28:15,21:12:05,445
20C-GLOBAUX-04-A_2_0,21:12:05,21:50:50,465
20C-GLOBAUX-04-A_2_0,21:50:50,22:17:05,525
20C-GLOBAUX-04-A_2_0,22:17:05,22:53:05,540
20C-GLOBAUX-04-A_2_0,22:53:05,23:02:30,565
20C-GLOBAUX-04-A_2_0,23:02:30,24:00:00,575
20C-GLOBAUX-04-A_2_0,24:00:00,25:00:00,600
20C-GLOBAUX-04-A_4_0,05:30:00,25:10:00,600
20C-GLOBAUX-04-A_4_0,25:10:00,25:18:30,510
20C-GLOBAUX-04-A_4_0,25:18:30,25:30:00,690
20C-GLOBAUX-04-A_4_1,05:30:00,25:30:00,600
20C-GLOBAUX-04-A_5_3,05:30:00,08:49:30,630
20C-GLOBAUX-04-A_5_3,08:49:30,08:59:45,615
20C-GLOBAUX-04-A_5_3,08:59:45,20:11:15,510
20C-GLOBAUX-04-A_5_3,20:11:15,20:21:00,585
20C-GLOBAUX-04-A_5_3,20:21:00,25:15:00,630
20C-GLOBAUX-04-A_5_2,05:30:00,09:21:00,630
20C-GLOBAUX-04-A_5_2,09:21:00,20:32:30,510
20C-GLOBAUX-04-A_5_2,20:32:30,20:42:00,570
20C-GLOBAUX-04-A_5_2,20:42:00,25:15:00,630
20C-GLOBAUX-04-I_1_3,05:30:00,07:25:30,630
20C-GLOBAUX-04-I_1_3,07:25:30,08:40:10,560
20C-GLOBAUX-04-I_1_3,08:40:10,12:19:00,505
20C-GLOBAUX-04-I_1_3,12:19:00,15:00:00,460
20C-GLOBAUX-04-I_1_3,15:00:00,18:23:00,420
20C-GLOBAUX-04-I_1_3,18:23:00,18:31:20,500
20C-GLOBAUX-04-I_1_3,18:31:20,22:18:35,505
20C-GLOBAUX-04-I_1_3,22:18:35,22:29:00,625
20C-GLOBAUX-04-I_1_3,22:29:00,24:03:30,630
20C-GLOBAUX-04-I_1_3,24:03:30,24:38:00,690
20C-GLOBAUX-04-I_1_2,05:30:00,08:07:30,630
20C-GLOBAUX-04-I_1_2,08:07:30,09:22:10,560
20C-GLOBAUX-04-I_1_2,09:22:10,09:30:45,515
20C-GLOBAUX-04-I_1_2,09:30:45,11:37:00,505
20C-GLOBAUX-04-I_1_2,11:37:00,14:18:00,460
20C-GLOBAUX-04-I_1_2,14:18:00,18:23:00,420
20C-GLOBAUX-04-I_1_2,18:23:00,21:36:35,505
20C-GLOBAUX-04-I_1_2,21:36:35,21:45:50,555
20C-GLOBAUX-04-I_1_2,21:45:50,23:00:30,560
